aalib 1.4rc5-14
qemu-block-nfs 7.0.0-9
qemu-block-ssh 7.0.0-9
qemu-chardev-spice 7.0.0-9
qemu-common 7.0.0-9
qemu-desktop 7.0.0-9
qemu-hw-display-qxl 7.0.0-9
qemu-hw-display-virtio-gpu 7.0.0-9
qemu-hw-display-virtio-gpu-gl 7.0.0-9
qemu-hw-display-virtio-gpu-pci 7.0.0-9
qemu-hw-display-virtio-gpu-pci-gl 7.0.0-9
qemu-hw-display-virtio-vga 7.0.0-9
qemu-hw-display-virtio-vga-gl 7.0.0-9
qemu-hw-s390x-virtio-gpu-ccw 7.0.0-9
qemu-hw-usb-host 7.0.0-9
qemu-hw-usb-redirect 7.0.0-9
qemu-hw-usb-smartcard 7.0.0-9
qemu-img 7.0.0-9
qemu-pr-helper 7.0.0-9
qemu-system-x86 7.0.0-9
qemu-tools 7.0.0-9
qemu-ui-curses 7.0.0-9
qemu-ui-dbus 7.0.0-9
qemu-ui-egl-headless 7.0.0-9
qemu-ui-gtk 7.0.0-9
qemu-ui-opengl 7.0.0-9
qemu-ui-sdl 7.0.0-9
qemu-ui-spice-app 7.0.0-9
qemu-ui-spice-core 7.0.0-9
qemu-vhost-user-gpu 7.0.0-9
qemu-virtiofsd 7.0.0-9
qt5-base 5.15.3+kde+r145-1
qt5-declarative 5.15.3+kde+r20-1
qt5-graphicaleffects 5.15.3+kde+r0-1
qt5-location 5.15.3+kde+r2-1
qt5-multimedia 5.15.3+kde+r0-1
qt5-quickcontrols 5.15.3+kde+r0-1
qt5-quickcontrols2 5.15.3+kde+r4-1
qt5-speech 5.15.3+kde+r1-1
qt5-svg 5.15.3+kde+r12-1
qt5-translations 5.15.3+kde+r2-1
qt5-wayland 5.15.3+kde+r44-1
qt5-webchannel 5.15.3+kde+r3-1
qt5-webengine 5.15.9-2
qt5-x11extras 5.15.3+kde+r0-1
raptor 2.0.15-19
rasqal 1:0.9.33-5
rav1e 0.4.1-2
re2 1:20220401-1
readline 8.1.002-1
redland 1:1.0.17-8
rest 0.8.1+r4+ge5ee6ef-1
rnote 0.5.1-1
rubberband 2.0.2-1
ruby 3.0.4-1
ruby-irb 1.4.1-1
ruby-reline 0.3.1-1
rubygems 3.3.8-1
run-parts 5.5-1
rustup 1.24.3-2
sbc 1.5-2
sdl2 2.0.22-1
sdl2_image 2.0.5-2
seabios 1.16.0-1
sed 4.8-1
semver 7.3.7-1
serd 0.30.10-1
shaderc 2022.1-3
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
signon-kwallet-extension 22.04.0-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.2-2
smbclient 4.16.1-3
snappy 1.1.9-2
solid 5.93.0-1
sonnet 5.93.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spice-gtk 0.40-1
spirv-tools 2022.1-1
sqlite 3.38.4-1
sratom 0.6.8-3
srt 1.4.4-1
steam 1.0.0.74-1
sublime-text 4126-1
sudo 1.9.10-1
svt-av1 0.9.0-2
sysfsutils 2.1.1-1
systemd 250.5-1
systemd-libs 250.5-1
systemd-sysvcompat 250.5-1
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tdb 1.4.6-1
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
threadweaver 5.93.0-1
tpm2-tss 3.2.0-1
tracker3 3.3.0-2
tree 2.0.2-1
tslib 1.22-1
ttf-cascadia-code 2111.01-1
ttf-fira-code 6.2-2
ttf-font-awesome 6.1.1-1
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-material-design-icons 4.0.0-1
twolame 0.4.0-2
tzdata 2022a-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unzip 6.0-18
upower 0.99.17-1
usbmuxd 1.1.1-1
usbredir 0.12.0-1
usbutils 014-2
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vde2 2.3.2-21
vid.stab 1.1-3
vim 8.2.4827-1
vim-runtime 8.2.4827-1
virglrenderer 0.9.1-1
virt-install 4.0.0-1
virt-manager 4.0.0-1
virt-viewer 11.0-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vscodium-bin 1.66.2-1
vte-common 0.68.0-2
vte3 0.68.0-2
vulkan-icd-loader 1.3.209-1
wavpack 5.4.0-1
wayland 1.20.0-2
webkit2gtk 2.36.1-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
wireplumber 0.4.9-1
woff2 1.0.2-3
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
wqy-zenhei 0.9.45-9
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xcb-proto 1.15-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xclip 0.13-3
xcolor 0.5.1-3
xdg-dbus-proxy 0.1.3-1
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.1-1
xfsprogs 5.16.0-1
xkeyboard-config 2.35.1-1
xkeycaps 2.47-2
xmlsec 1.2.34-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-setxkbmap 1.3.3-1
xorg-xauth 1.1.2-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorgproto 2022.1-1
xvidcore 1.3.7-2
xwallpaper 0.7.3-2
xz 5.2.5-3
yajl 2.1.0-5
zenity 3.42.1-1
zeromq 4.3.4-2
zimg 3.0.3-2
zlib 1:1.2.12-2
zsh 5.8.1-2
zstd 1.5.2-3
zxing-cpp 1.3.0-1
